Stack,application,product,color,part no.,global product id,Is Visualizable?
Echelon-EPP - estimated items,Flooring,Tile,C.F. Advantage 2x4 Herringbone Mosaic - Trumpet Gray,6CORE24/TRU,053297a8-6c6d-4a7c-a5ae-66513c38f7bc,Yes
WBS - estimated items,Flooring,Tile,Ideal Cube Gloss Mosaic (10x12 Mesh) - White,6BNIGCM/WH,0537129a-dc18-484c-86f1-03d6e415fde5,Yes
WBS - estimated items,Flooring,Tile,Influence Cube Gloss Mosaic (10x12 Mesh) - White,6IGCM/WH,0537129a-dc18-484c-86f1-03d6e415fde5,Yes
WBS - estimated items,Flooring,Tile,Vertuo 12x24 - VR10 Maestro,6V1224/VR10,0555a2a5-70bf-4089-aae2-a2b6942a4ea6,Yes
WBS - estimated items,Flooring,Tile,Voyage 12x24 - VR10 Maestro,6BNV1224/VR10,0555a2a5-70bf-4089-aae2-a2b6942a4ea6,Yes
WBS - estimated items,Flooring,Tile,Vertuo 12x24 - VR10 Maestro,6V1224/VR10,0555a2a5-70bf-4089-aae2-a2b6942a4ea6,Yes
WBS - estimated items,Flooring,Tile,Voyage 12x24 - VR10 Maestro,6BNV1224/VR10,0555a2a5-70bf-4089-aae2-a2b6942a4ea6,Yes
WBS - estimated items,Flooring,Tile,Sublime Marble Parquet Mosaic (11x11 Mesh) - M018 Cirrus Storm,6BNSPMO/M018,05628d0d-072f-4ae3-a9ad-c0afdbb3eaf0,Yes
WBS - estimated items,Flooring,Tile,Sublimity Marble Parquet Mosaic (11x11 Mesh)  - M018 Cirrus Storm,6SPMO/M018,05628d0d-072f-4ae3-a9ad-c0afdbb3eaf0,Yes
WBS - estimated items,Flooring,Tile,Geoscapes Hexagon TGJ78 Mosaic (10.51x12.13 Mesh) - 00150 Bone,6TGJ78/150,05b13224-9f5a-4e22-8b1e-9fe4f5482683,Yes
WBS - estimated items,Flooring,Tile,Glow Hexagon TGJ78 Mosaic (10.51x12.13 Mesh) - 00150 Bone,6BNTGJ78/150,05b13224-9f5a-4e22-8b1e-9fe4f5482683,Yes
Echelon-EPP - estimated items,Flooring,Tile,Cabo 12x24 - Ocean EM,6CAB124/OC,05bba5a1-fe6e-4716-b47a-cf33b4bd949a,Yes
WBS - estimated items,Flooring,Tile,Cabo 12x24 - Ocean,6CAB124/OC,05bba5a1-fe6e-4716-b47a-cf33b4bd949a,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Sterlina II 8x10 Hex - Ivory,6EMSTRLII810H/IV,05d890a9-063e-4dfb-acd4-452565f305d3,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Sterlina II 8x10 Hex - Ivory,6EMSTRLII810H/IV,05d890a9-063e-4dfb-acd4-452565f305d3,Yes
Echelon-EPP - estimated items,Flooring,Tile,EM Sterlina II 8x10 Hex - Ivory,6EMSTRLII810H/IV,05d890a9-063e-4dfb-acd4-452565f305d3,Yes
WBS - estimated items,Flooring,Tile,Geoscapes Diamond TGJ79 Mosaic (10.63x13.39 Mesh) - 00550 Dark Grey,6TGJ79/550,05eb5794-79e7-4c4c-b587-3722a233ca01,Yes
WBS - estimated items,Flooring,Tile,Glow Diamond TGJ79 Mosaic (10.63x13.39 Mesh) -  00550 Dark Grey,6BNTGJ79/550,05eb5794-79e7-4c4c-b587-3722a233ca01,Yes
Echelon-EPP - estimated items,Flooring,Tile,Color Wheel Linear 4x16 - Arctic White 0190,6CWL416/0190,06266e08-959c-488a-b2db-2ca2ce03d64d,Yes
Echelon-EPP - estimated items,Flooring,Tile,Concept Chevron Mosaic 8x12 - White,6COCM/WH,063221f1-7d8a-4021-b98f-a7c008d77ea9,Yes
WBS - estimated items,Flooring,Tile,Book II 13X13 - Silver,6BNBKII13/SI,0648f992-2d4f-4eec-8976-c061b713cf14,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Emerson Wood 6x48 - Brazilian Walnut EP03 ",6EW648/BW,068c592e-8996-4864-9a27-c463fd53b229,Yes
WBS - estimated items,Flooring,Tile,Eclipse Wood 8x48 - EP03 Brazilian Walnut,6BNEW848/EP03,068c592e-8996-4864-9a27-c463fd53b229,Yes
WBS - estimated items,Flooring,Tile,Emerson Wood 8x48 - EP03 Brazilian Walnut,6EW848/EP03,068c592e-8996-4864-9a27-c463fd53b229,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Emerson Wood 6x48 - Brazilian Walnut EP03 ",6EW648/BW,068c592e-8996-4864-9a27-c463fd53b229,Yes
WBS - estimated items,Flooring,Tile,Eclipse Wood 8x48 - EP03 Brazilian Walnut,6BNEW848/EP03,068c592e-8996-4864-9a27-c463fd53b229,Yes
WBS - estimated items,Flooring,Tile,Emerson Wood 8x48 - EP03 Brazilian Walnut,6EW848/EP03,068c592e-8996-4864-9a27-c463fd53b229,Yes
WBS - estimated items,Flooring,Tile,Paradise TG97D 12x24 - 00150 White,6TG97D/150,06a0cb16-897b-4280-8f07-9673c6d91376,Yes
Echelon-EPP - estimated items,Flooring,Tile,"Marble Obsession 12x24 Matte - Arabescato MB20 ",6MBO1224/MB20,06de56dc-88ad-4a89-89ee-57b7823e1164,Yes
WBS - estimated items,Flooring,Tile,Cultivate Pebbles Mosaic (12x12 Mesh) - Winter,6BNCU/WI,06e2c6c4-9cd0-47b5-9aa4-5a200b2b22b2,Yes
WBS - estimated items,Flooring,Tile,Cultura Pebbles Mosaic (12x12 Mesh) - Winter,6CU/WI,06e2c6c4-9cd0-47b5-9aa4-5a200b2b22b2,Yes
WBS - estimated items,Flooring,Tile,Wanderwise 12x24 - WW02 Drift,6WW24/WW02,06e37f36-a5f7-42fe-aefd-fd47380cfac1,Yes
WBS - estimated items,Flooring,Tile,Wiser 12x24 - WW02 Drift,6BNWW24/WW02,06e37f36-a5f7-42fe-aefd-fd47380cfac1,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Revalia Remix 2x8 Glossy - Ripple Gray RV07 ",6DTRR28G/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
WBS - estimated items,Flooring,Tile,Relief Ripple 2x8 - RV07 Gray,6BNRR28/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
WBS - estimated items,Flooring,Tile,Revalia Ripple 2x8 - RV07 Gray,6RR28/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
Echelon-EPP - estimated items,Flooring,Tile,"DT Revalia Remix 2x8 Glossy - Ripple Gray RV07 ",6DTRR28G/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
WBS - estimated items,Flooring,Tile,Relief Ripple 2x8 - RV07 Gray,6BNRR28/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
WBS - estimated items,Flooring,Tile,Revalia Ripple 2x8 - RV07 Gray,6RR28/RV07,072ed07b-0105-49e3-841e-54eab7f6d790,Yes
WBS - estimated items,Flooring,Tile,Kinetic Beveled Mosaic (11x12 Mesh) - Blue,6KIB/BL,0731b057-132e-4b5b-b5ec-ebe0f7a2cd0a,Yes
WBS - estimated items,Flooring,Tile,Kinship Beveled Mosaic (11x12 Mesh) - Blue,6BNKIB/BL,0731b057-132e-4b5b-b5ec-ebe0f7a2cd0a,Yes
Echelon-EPP - estimated items,Flooring,Tile,Moroccan Concrete 12x24-Ochre,6MC1224/MC55,07a96b91-951e-4d0d-861f-230174a05e58,Yes
